season,week,game_id,gameday,home_team,away_team,home_score,away_score,home_team_won,home_point_diff
2018,16,2018_16_CHI_SF,2018-12-23,SF,CHI,9.0,14.0,0,-5.0
2018,16,2018_16_PIT_NO,2018-12-23,NO,PIT,31.0,28.0,1,3.0
2018,16,2018_16_KC_SEA,2018-12-23,SEA,KC,38.0,31.0,1,7.0
2018,16,2018_16_DEN_OAK,2018-12-24,OAK,DEN,27.0,14.0,1,13.0
2018,17,2018_17_MIA_BUF,2018-12-30,BUF,MIA,42.0,17.0,1,25.0
2018,17,2018_17_DET_GB,2018-12-30,GB,DET,0.0,31.0,0,-31.0
2018,17,2018_17_JAX_HOU,2018-12-30,HOU,JAX,20.0,3.0,1,17.0
2018,17,2018_17_NYJ_NE,2018-12-30,NE,NYJ,38.0,3.0,1,35.0
2018,17,2018_17_CAR_NO,2018-12-30,NO,CAR,14.0,33.0,0,-19.0
2018,17,2018_17_DAL_NYG,2018-12-30,NYG,DAL,35.0,36.0,0,-1.0
2018,17,2018_17_ATL_TB,2018-12-30,TB,ATL,32.0,34.0,0,-2.0
2018,17,2018_17_CLE_BAL,2018-12-30,BAL,CLE,26.0,24.0,1,2.0
2018,17,2018_17_LAC_DEN,2018-12-30,DEN,LAC,9.0,23.0,0,-14.0
2018,17,2018_17_OAK_KC,2018-12-30,KC,OAK,35.0,3.0,1,32.0
2018,17,2018_17_SF_LA,2018-12-30,LA,SF,48.0,32.0,1,16.0
2018,17,2018_17_CHI_MIN,2018-12-30,MIN,CHI,10.0,24.0,0,-14.0
2018,17,2018_17_CIN_PIT,2018-12-30,PIT,CIN,16.0,13.0,1,3.0
2018,17,2018_17_ARI_SEA,2018-12-30,SEA,ARI,27.0,24.0,1,3.0
2018,17,2018_17_PHI_WAS,2018-12-30,WAS,PHI,0.0,24.0,0,-24.0
2018,17,2018_17_IND_TEN,2018-12-30,TEN,IND,17.0,33.0,0,-16.0
2018,18,2018_18_IND_HOU,2019-01-05,HOU,IND,7.0,21.0,0,-14.0
